Year,Country,TotalDeaths,TotalAffected,TotalDamage
1953,ESP,50,0,0
1953,GRC,455,0,1.00E+05
1953,IDN,114,0,0
1953,IND,491,0,0
1953,IRN,1890,0,0
1953,ITA,100,4000,0
1953,JPN,4246,2886760,0
1953,KOR,249,0,0
1953,NLD,2000,3.00E+05,3.00E+05
1953,NZL,301,0,0
1953,PAK,111,0,0
1953,PER,7,0,0
1953,TUR,1200,50000,0
1953,TWN,67,0,0
1953,USA,489,0,52000
1953,VNM,1000,0,0
1954,AFG,2000,0,0
1954,ANT,0,0,0
1954,AUT,210,380,0
1954,BEL,32,40,0
1954,CAN,120,0,1.00E+05
1954,CHN,32050,300,0
1954,COL,187,0,0
1954,DZA,1250,129250,6000
1954,EGY,0,0,0
1954,GRC,31,200,0
1954,HTI,672,250000,0
1954,IDN,37,0,0
1954,IND,30,0,0
1954,IRN,2000,0,0
1954,IRQ,0,0,50000
1954,ITA,297,5466,0
1954,JPN,3425,47049,0
1954,KOR,56,0,0
1954,MAR,30,0,0
1954,MEX,100,0,0
1954,NLD,16,7,0
1954,NPL,60,0,0
1954,PAK,406,0,0
1954,PHL,68,101,0
1954,TUR,2000,0,178000
1954,USA,326,0,731000
1955,AIA,0,0,0
1955,AUS,70,0,0
1955,BEL,39,0,0
1955,BLZ,16,0,5000
1955,BRB,57,0,0
1955,CAN,3,2006,0
1955,CHN,39,113,0
1955,EGY,20,28,0
1955,GBR,140,173,0
1955,IDN,405,0,0
1955,IND,2120,375000,0
1955,ITA,29,0,0
1955,JPN,443,0,0
1955,KNA,0,0,0
1955,LBN,440,0,0
1955,MEX,1100,0,40000
1955,NCL,1,0,0
1955,PHL,544,2000,0
1955,THA,500,0,0
1955,USA,546,0,832000
1955,VCT,122,0,0
1956,AFG,151,2000,25000
1956,BEL,266,0,0
1956,BRA,66,0,0
1956,CAN,39,0,0
1956,CHN,4000,0,0
1956,COL,2700,0,40000
1956,ESP,11,70,0
1956,GLP,0,0,0
1956,GRC,53,100,0
1956,IDN,300,0,0
1956,IND,318,1077219,0
1956,IRN,1350,0,0
1956,JPN,130,0,0
1956,KOR,103,0,0
1956,LBN,136,200,0
1956,MOZ,107,0,0
1956,PAK,270,0,0
1956,PHL,129,0,0
1956,SLB,200,0,0
1956,SUN,0,0,0
1956,TUR,138,0,0
1956,USA,325,1750,0
1956,VEN,22,0,0
1956,VNM,56,0,0
1957,BRA,112,0,0
1957,CHN,560,0,0
1957,ESP,77,0,0
1957,FIN,25,45,0
1957,GBR,90,900,0
1957,HKG,8,111,0
1957,IND,187,10000,0
1957,IRN,5666,15000,0
1957,JAM,175,0,0
1957,JPN,1101,258240,0
1957,KOR,485,0,0
1957,LKA,200,250000,0
1957,MEX,160,100,25000
1957,MNG,1200,0,0
1957,PAK,375,0,0
1957,PHL,89,0,0
1957,PNG,0,3200,0
1957,SPI,26,0,0
1957,SUN,0,400935,0
1957,TUN,13,0,0
1957,TUR,175,219,0
1957,USA,541,0,150000
1958,ARG,360,0,0
1958,BEL,20,0,0
1958,BGD,500,0,0
1958,CAN,93,0,0
1958,CHL,0,35,10100
1958,COL,84,0,0
1958,FJI,0,0,0
1958,FRA,35,0,0
1958,GBR,10,89,0
1958,IDN,8,0,0
1958,IND,912,25000,0
1958,IRN,191,984,0
1958,JPN,1950,0,0
1958,MAR,65,4,0
1958,PER,28,0,0
1958,PYF,0,0,0
1958,TWN,31,0,0
1958,USA,232,0,520000
1959,BRA,159,0,0
1959,CAN,41,0,0
1959,CHN,2002018,0,0
1959,COL,184,0,0
1959,DZA,48,0,0
1959,ESP,135,500,0
1959,FRA,412,6000,0
1959,HKG,43,0,0
1959,HTI,50,0,0
1959,IND,621,13000,0
1959,JPN,5305,1500000,6.00E+05
1959,KOR,494,0,0
1959,MAR,0,2000,0
1959,MEX,2988,0,20000
1959,NCL,1,0,700
1959,NIU,0,1600,1500
1959,PAK,148,0,0
1959,PHL,29,0,0
1959,TWN,1046,0,50000
1959,USA,99,0,26000
1959,VUT,0,0,0
1959,ZAF,51,0,0
1960,AIA,5,1250,35000
1960,ANT,0,0,0
1960,ATG,2,0,0
1960,BGD,18149,2.00E+05,0
1960,CHL,6570,2003000,550000
1960,COG,35,0,0
1960,CSK,117,106,0
1960,DZA,57,1250,0
1960,GTM,225,1900,0
1960,HKG,60,22127,0
1960,IND,237,160000,0
1960,IRN,480,0,0
1960,ITA,12,0,0
1960,JPN,179,0,140000
1960,LCA,0,0,0
1960,MAR,12000,25000,120000
1960,MTQ,0,0,0
1960,MUS,42,0,0
1960,NIC,325,0,0
1960,NIU,0,4000,41
1960,PER,57,0,0
1960,PHL,703,425000,32000
1960,PNG,0,2000,0
1960,PRI,0,0,0
1960,SUN,13,0,0
1960,TWN,199,0,0
1960,USA,111,0,387000
1960,ZAF,417,437,0
1961,BEL,97,0,0
1961,BGD,11266,0,11900
1961,BLZ,275,0,60000
1961,BRA,323,1900,0
1961,CAN,0,0,0
1961,CHL,5,300,0
1961,ETH,0,0,0
1961,FRA,21,0,0
1961,GRC,43,0,0
1961,HKG,7,1306,0
1961,HND,275,0,0
1961,IND,3457,2000,0
1961,IRN,60,0,0
1961,JPN,653,1302249,0
1961,KOR,249,0,0
1961,MEX,436,0,0
1961,PHL,15,0,49505
1961,SOM,200,0,0
1961,SUN,145,0,0
1961,TON,2,8000,500
1961,TWN,106,0,0
1961,USA,162,0,408000
1962,BEL,28,13,0
1962,CAN,33,0,0
1962,COL,247,0,0
1962,DFR,347,0,6.00E+05
1962,ESP,445,0,80000
1962,GBR,18,33,0
1962,GUM,6,0,250000
1962,HKG,183,0,0
1962,HTI,26,0,0
1962,IND,173,40000,0
1962,IRN,12000,103000,30000
1962,JPN,234,400,0
1962,KOR,290,0,0
1962,MEX,50,0,0
1962,NLD,93,0,0
1962,PER,2198,0,2.00E+05
1962,PHL,197,0,0
1962,THA,769,0,19000
1962,TUN,40,0,0
1962,TUR,97,267,0
1962,TWN,107,0,0
1962,USA,158,0,350000
1962,VEN,30,0,0
1963,AFG,107,0,0
1963,BEL,12,0,0
1963,BGD,22109,1.00E+06,50000
1963,BHS,0,0,1500
1963,BRA,146,0,0
1963,CAN,219,0,0
1963,CHL,280,460,235000
1963,CRI,15,5200,0
1963,CUB,1750,0,5.00E+05
1963,DFR,38,9,0
1963,DMA,0,0,2600
1963,DOM,400,0,60000
1963,DZA,0,45400,0
1963,GRD,6,0,0
1963,HTI,5500,2724,180000
1963,IDN,1690,78000,0
1963,IND,512,5.00E+06,0
1963,ITA,1917,0,0
1963,JAM,11,0,11525
1963,JOR,25,0,0
1963,JPN,295,120,0
1963,KOR,116,0,0
1963,LBY,320,0,5000
1963,LCA,10,0,3465
1963,MAR,169,35010,0
1963,MMR,0,200,0
1963,MTQ,10,0,40000
1963,NPL,1150,5000,0
1963,PHL,1,2000,0
1963,PRY,0,13400,0
1963,TTO,24,0,30000
1963,TUR,95,0,0
1963,USA,442,0,0
1963,YUG,1100,3383,6.00E+05
1964,AFG,74,400,0
1964,AZO,0,1000,0
1964,BEL,17,20,0
1964,BGD,300,1000800,5250
1964,BRA,100,120000,500
1964,CHL,4,2000,0
1964,CHN,686,0,0
1964,CUB,0,0,0
1964,DOM,7,0,1000
1964,DZA,0,200,0
1964,ECU,0,6.00E+05,0
1964,FJI,1,18000,1100
1964,GLP,14,10100,0
1964,HKG,70,385,0
1964,HTI,100,80000,10000
1964,IND,732,1436610,500
1964,IRN,0,625000,0
1964,JPN,758,35376,8.00E+05
1964,KEN,0,15000,0
1964,KOR,210,86830,1000
1964,LKA,206,380000,37300
1964,MAR,76,0,0
1964,MDG,0,500,50
1964,MEX,45,4000,3000
1964,MMR,0,3300,50
1964,NPL,0,0,0
1964,PAK,450,474427,4600
1964,PAN,1,3744,454
1964,PER,350,500,0
1964,PHL,636,1225546,43000
1964,PRT,94,0,0
1964,SAU,20,1000,0
1964,SOM,50,7.00E+05,0
1964,TUN,49,21000,3000
1964,TUR,42,30600,7200
1964,TWN,107,62485,0
1964,TZA,4,14400,0
1964,USA,450,0,2090000
1964,VNM,7998,710848,50000
1964,WSM,250,0,0
1964,YUG,0,240000,62600
1964,ZAF,0,5000,0
1965,ARG,45,0,0
1965,BEL,15,5,0
1965,BGD,48921,15660000,57700
1965,BGR,11,0,0
1965,BHS,90,1700,700
1965,BOL,40,500,100
1965,BRA,22,270000,17000
1965,BWA,0,60000,0
1965,CAN,26,22,0
1965,CHE,90,0,0
1965,CHL,1084,395350,135000
1965,CHN,0,0,27118
1965,COL,32,0,0
1965,DOM,0,0,1000
1965,DZA,2,49350,2000
1965,ECU,0,50000,4000
1965,ESP,30,0,0
1965,ETH,2000,1500000,0
1965,FJI,2,10000,0
1965,GRC,38,30253,8000
1965,HKG,5,203,0
1965,HND,7,106170,500
1965,IDN,111,0,0
1965,IND,1500560,1.00E+08,1.00E+05
1965,IRN,288,2500,0
1965,ITA,92,0,0
1965,JOR,8,500,1000
1965,JPN,289,3030770,90000
1965,KEN,0,260000,0
1965,KOR,323,344459,36500
1965,MAR,75,47813,5000
1965,MEX,27,0,8000
1965,MMR,134,508300,2065
1965,MRT,0,46000,0
1965,MWI,100,0,0
1965,MYS,6,3.00E+05,1000
1965,PAK,10000,0,0
1965,PAN,0,1018,500
1965,PER,60,0,0
1965,PHL,392,65785,20000
1965,PRY,6,25000,2000
1965,SDN,124,2300,0
1965,SEN,60,150,0
1965,SLV,125,139720,35000
1965,SOM,0,0,0
1965,SYR,54,0,0
1965,TGO,150,300,0
1965,TUR,461,1.00E+05,0
1965,TWN,55,166,0
1965,USA,577,1000,1638000
1965,WLF,0,0,0
1965,YUG,111,95000,347000
1965,ZAF,90,130,0
1966,ARG,62,120000,30000
1966,ASM,90,0,0
1966,ATG,0,0,0
1966,BEL,10,6,0
1966,BFA,0,0,0
1966,BGD,889,2300000,23400
1966,BHS,5,3,15500
1966,BOL,14,6100,618
1966,BRA,946,4208138,60941
1966,CAN,0,0,0
1966,CHL,4,3006,400
1966,CHN,0,0,0
1966,COD,24,3600,200
1966,COL,1,23011,8000
1966,CUB,5,174030,18000
1966,DOM,74,12942,5000
1966,DZA,57,35912,10000
1966,ECU,50,1292,134
1966,FRA,114,0,0
1966,GBR,140,0,0
1966,GLP,25,10000,70000
1966,GRC,2,26173,18000
1966,HKG,144,11301,8000
1966,HTI,480,67881,20000
1966,IDN,9264,775160,33000
1966,IND,65,1050000,5600
1966,IRN,42,70,0
1966,ITA,70,1300000,2.00E+06
1966,JOR,259,5792,1400
1966,JPN,422,16253,13900
1966,KOR,117,200044,1977
1966,LAO,300,72000,15300
1966,LKA,23,352347,5000
1966,MAR,200,2942,0
1966,MEX,14,90069,24000
