Year,Country,CountryName,Population,AverageTemperature,MinTemperature,MaxTemperature,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,Meantemperature,AN_Temp,MeanGDP,AN_GDP,MeanCO2,AN_CO2,MeanPop,AN_POP
1964,AUS,Australia,11167000,21.65075,21.44116667,21.86033333,23758539590,108.8758,0,0,0,22.01454717,0.36379717,3.26E+11,3.02E+11,252.3304792,143.4546792,16163360.87,4996360.868
1964,BGD,Bangladesh,54129100,25.30458333,25.034,25.57516667,5386054619,2.9746,0,1000800,5250,25.28250472,-0.022078616,35173952142,29787897523,18.18194528,15.20734528,98939874.21,44810774.21
1964,BRA,Brazil,81168654,24.73408333,24.47775,24.99041667,21211892260,56.6667,100,120000,500,25.22883491,0.494751572,5.22E+11,5.00E+11,210.8392,154.1725,137590674.3,56422020.28
1964,CAN,Canada,19325000,-5.457,-5.724083333,-5.189916667,48882938810,237.5777,0,0,0,-4.422849057,1.034150943,5.36E+11,4.87E+11,434.3247113,196.7470113,26407064.92,7082064.925
1964,CHN,China,698355000,6.746083333,6.537166667,6.955,59708343489,435.7037,686,0,0,7.139169811,0.393086478,1.13E+12,1.07E+12,2772.717077,2337.013377,1049505755,351150754.7
1964,ESP,Spain,31609195,14.06475,13.82133333,14.30816667,21343844644,64.3238,0,0,0,14.11321384,0.048463836,4.70E+11,4.48E+11,212.3998415,148.0760415,38244689.89,6635494.887
1964,FRA,France,49449403,12.99041667,12.721,13.25983333,94906593388,345.5381,0,0,0,13.32412736,0.333710692,1.04E+12,9.44E+11,413.2225113,67.68441132,56972193.17,7522790.17
1964,GBR,United Kingdom,54000000,8.679166667,8.424916667,8.933416667,93387598814,607.866,0,0,0,8.956007862,0.276841195,1.01E+12,9.16E+11,581.3134792,-26.55252075,57367943.06,3367943.057
1964,IND,India,487484535,24.0705,23.807,24.334,55726873084,150.639,0,0,0,24.35244969,0.281949686,3.92E+11,3.37E+11,646.297066,495.658066,819442916.4,331958381.4
1964,ITA,Italy,51675350,12.99133333,12.75841667,13.22425,63175417019,175.7211,0,0,0,13.25787264,0.266539308,8.47E+11,7.84E+11,368.5825604,192.8614604,55873572.26,4198222.264
1964,JPN,Japan,97826000,12.34975,12.15341667,12.54608333,81749006382,358.8911,758,0,0,12.46862107,0.118871069,2.50E+12,2.42E+12,954.1336679,595.2425679,116985539.1,19159539.09
1964,KOR,"Korea, Rep.",27984155,12.58816667,12.31316667,12.86316667,3458518494,22.1952,210,86830,1000,12.40232862,-0.18583805,3.30E+11,3.26E+11,240.3905358,218.1953358,39940599.32,11956444.32
1964,MEX,Mexico,43264272,20.58633333,20.36591667,20.80675,2.01E+10,74.2001,45,4000,3000,20.90401101,0.317677673,3.63E+11,3.43E+11,280.9360774,206.7359774,78762835.77,35498563.77
1964,NGA,Nigeria,49066059,26.63066667,26.37575,26.88558333,5552822484,7.2667,0,0,0,27.0908978,0.460231132,62434227185,56881404701,53.07827358,45.81157358,92269841.08,43203782.08
1964,PAK,Pakistan,49551904,20.14183333,19.87616667,20.4075,5130407728,16.039,0,474427,4600,21.07655818,0.934724843,52806213638,47675805910,65.45923962,49.42023962,100721180.1,51169276.06
1964,USA,United States,191889000,8.491666667,8.31925,8.664083333,6.86E+11,3252.7552,450,0,0,9.135677673,0.644011006,5.95E+12,5.26E+12,4835.256547,1582.501347,244696395.8,52807395.77
1965,AUS,Australia,11388000,22.09208333,21.84408333,22.34008333,25931235301,120.8527,0,0,0,22.01454717,-0.077536164,3.26E+11,3.00E+11,252.3304792,131.4777792,16163360.87,4775360.868
1965,BGD,Bangladesh,55834038,25.0385,24.74983333,25.32716667,5906636557,3.1213,48921,15660000,57700,25.28250472,0.244004717,35173952142,29267315585,18.18194528,15.06064528,98939874.21,43105836.21
